region_id,district,subdivision,NX,NY,
1,종로구,청운효자동,60,127,
2,종로구,사직동,60,127,
3,종로구,삼청동,60,127,
4,종로구,부암동,60,127,
5,종로구,평창동,60,127,
6,종로구,무악동,60,127,
7,종로구,교남동,60,127,
8,종로구,가회동,60,127,
9,종로구,종로1.2.3.4가동,60,127,
10,종로구,종로5.6가동,60,127,
11,종로구,이화동,60,127,
12,종로구,혜화동,60,127,
13,종로구,창신제1동,61,127,
14,종로구,창신제2동,60,127,
15,종로구,창신제3동,60,127,
16,종로구,숭인제1동,60,127,
17,종로구,숭인제2동,61,127,
18,중구,소공동,60,127,
19,중구,회현동,60,126,
20,중구,명동,60,127,
21,중구,필동,60,127,
22,중구,장충동,60,127,
23,중구,광희동,60,127,
24,중구,을지로동,60,127,
25,중구,신당동,60,127,
26,중구,다산동,60,126,
27,중구,약수동,60,126,
28,중구,청구동,60,126,
29,중구,신당제5동,61,127,
30,중구,동화동,61,127,
31,중구,황학동,61,127,
32,중구,중림동,60,126,
33,용산구,후암동,60,126,
34,용산구,용산2가동,60,126,
35,용산구,남영동,60,126,
36,용산구,청파동,60,126,
37,용산구,원효로제1동,60,126,
38,용산구,원효로제2동,59,126,
39,용산구,효창동,60,126,
40,용산구,용문동,60,126,
41,용산구,한강로동,60,126,
42,용산구,이촌제1동,60,126,
43,용산구,이촌제2동,59,126,
44,용산구,이태원제1동,60,126,
45,용산구,이태원제2동,60,126,
46,용산구,한남동,60,126,
47,용산구,서빙고동,60,126,
48,용산구,보광동,60,126,
49,성동구,왕십리제2동,61,127,
50,성동구,왕십리도선동,61,127,
51,성동구,마장동,61,127,
52,성동구,사근동,61,127,
53,성동구,행당제1동,61,126,
54,성동구,행당제2동,61,126,
55,성동구,응봉동,61,126,
56,성동구,금호1가동,61,126,
57,성동구,금호2.3가동,61,126,
58,성동구,금호4가동,61,126,
59,성동구,옥수동,60,126,
60,성동구,성수1가제1동,61,126,
61,성동구,성수1가제2동,61,126,
62,성동구,성수2가제1동,61,126,
63,성동구,성수2가제3동,61,126,
64,성동구,송정동,61,126,
65,성동구,용답동,61,127,
66,광진구,화양동,61,126,
67,광진구,군자동,62,126,
68,광진구,중곡제1동,62,127,
69,광진구,중곡제2동,62,127,
70,광진구,중곡제3동,62,127,
71,광진구,중곡제4동,62,127,
72,광진구,능동,62,126,
73,광진구,광장동,62,126,
74,광진구,자양제1동,62,126,
75,광진구,자양제2동,62,126,
76,광진구,자양제3동,61,126,
77,광진구,자양제4동,61,126,
78,광진구,구의제1동,62,126,
79,광진구,구의제2동,62,126,
80,광진구,구의제3동,62,126,
81,동대문구,용신동,61,127,
82,동대문구,제기동,61,127,
83,동대문구,전농제1동,61,127,
84,동대문구,전농제2동,61,127,
85,동대문구,답십리제1동,61,127,
86,동대문구,답십리제2동,61,127,
87,동대문구,장안제1동,61,127,
88,동대문구,장안제2동,61,127,
89,동대문구,청량리동,61,127,
90,동대문구,회기동,61,127,
91,동대문구,휘경제1동,61,127,
92,동대문구,휘경제2동,61,127,
93,동대문구,이문제1동,61,127,
94,동대문구,이문제2동,61,127,
95,중랑구,면목제2동,62,127,
96,중랑구,면목제4동,62,127,
97,중랑구,면목제5동,62,127,
98,중랑구,면목본동,62,127,
99,중랑구,면목제7동,62,127,
100,중랑구,면목제3.8동,62,127,
101,중랑구,상봉제1동,62,127,
102,중랑구,상봉제2동,62,127,
103,중랑구,중화제1동,62,127,
104,중랑구,중화제2동,62,127,
105,중랑구,묵제1동,62,128,
106,중랑구,묵제2동,62,128,
107,중랑구,망우본동,62,127,
108,중랑구,망우제3동,62,127,
109,중랑구,신내1동,62,128,
110,중랑구,신내2동,62,128,
111,성북구,성북동,60,127,
112,성북구,삼선동,60,127,
113,성북구,동선동,61,127,
114,성북구,돈암제1동,61,127,
115,성북구,돈암제2동,60,127,
116,성북구,안암동,61,127,
117,성북구,보문동,61,127,
118,성북구,정릉제1동,60,127,
119,성북구,정릉제2동,60,127,
120,성북구,정릉제3동,60,128,
121,성북구,정릉제4동,60,128,
122,성북구,길음제1동,61,127,
123,성북구,길음제2동,61,128,
124,성북구,종암동,61,127,
125,성북구,월곡제1동,61,128,
126,성북구,월곡제2동,61,127,
127,성북구,장위제1동,61,128,
128,성북구,장위제2동,61,128,
129,성북구,장위제3동,61,128,
130,성북구,석관동,61,128,
131,강북구,삼양동,61,128,
132,강북구,미아동,61,128,
133,강북구,송중동,61,128,
134,강북구,송천동,61,128,
135,강북구,삼각산동,61,128,
136,강북구,번1동,61,128,
137,강북구,번2동,61,128,
138,강북구,번3동,61,128,
139,강북구,수유1동,60,128,
140,강북구,수유2동,61,128,
141,강북구,수유3동,61,128,
142,강북구,우이동,60,128,
143,강북구,인수동,60,128,
144,도봉구,창제1동,61,128,
145,도봉구,창제2동,61,128,
146,도봉구,창제3동,61,128,
147,도봉구,창제4동,61,129,
148,도봉구,창제5동,61,129,
149,도봉구,도봉제1동,61,129,
150,도봉구,도봉제2동,61,129,
151,도봉구,쌍문제1동,61,128,
152,도봉구,쌍문제2동,61,129,
153,도봉구,쌍문제3동,61,128,
154,도봉구,쌍문제4동,61,129,
155,도봉구,방학제1동,61,129,
156,도봉구,방학제2동,61,129,
157,도봉구,방학제3동,61,129,
158,노원구,월계1동,61,128,
159,노원구,월계2동,61,128,
160,노원구,월계3동,61,128,
161,노원구,공릉1동,61,128,
162,노원구,공릉2동,62,128,
163,노원구,하계1동,61,128,
164,노원구,하계2동,61,128,
165,노원구,중계본동,62,128,
166,노원구,중계1동,62,129,
167,노원구,중계4동,62,129,
168,노원구,중계2.3동,61,128,
169,노원구,상계1동,61,129,
170,노원구,상계2동,61,129,
171,노원구,상계3.4동,61,129,
172,노원구,상계5동,61,129,
173,노원구,상계6.7동,61,129,
174,노원구,상계8동,61,129,
175,노원구,상계9동,61,129,
176,노원구,상계10동,61,129,
177,은평구,녹번동,59,127,
178,은평구,불광제1동,59,128,
179,은평구,불광제2동,59,128,
180,은평구,갈현제1동,59,128,
181,은평구,갈현제2동,59,128,
182,은평구,구산동,59,128,
183,은평구,대조동,59,128,
184,은평구,응암제1동,59,127,
185,은평구,응암제2동,59,127,
186,은평구,응암제3동,59,127,
187,은평구,역촌동,59,127,
188,은평구,신사제1동,59,127,
189,은평구,신사제2동,59,127,
190,은평구,증산동,59,127,
191,은평구,수색동,58,127,
192,은평구,진관동,59,128,
193,서대문구,천연동,60,127,
194,서대문구,북아현동,59,126,
195,서대문구,충현동,59,127,
196,서대문구,신촌동,59,126,
197,서대문구,연희동,59,127,
198,서대문구,홍제제1동,59,127,
199,서대문구,홍제제3동,59,127,
200,서대문구,홍제제2동,59,127,
201,서대문구,홍은제1동,59,127,
202,서대문구,홍은제2동,59,127,
203,서대문구,남가좌제1동,59,127,
204,서대문구,남가좌제2동,59,127,
205,서대문구,북가좌제1동,59,127,
206,서대문구,북가좌제2동,59,127,
207,마포구,아현동,59,126,
208,마포구,공덕동,60,126,
209,마포구,도화동,59,126,
210,마포구,용강동,59,126,
211,마포구,대흥동,59,126,
212,마포구,염리동,59,126,
213,마포구,신수동,59,126,
214,마포구,서강동,59,126,
215,마포구,서교동,59,126,
216,마포구,합정동,59,126,
217,마포구,망원제1동,59,126,
218,마포구,망원제2동,59,126,
219,마포구,연남동,59,127,
220,마포구,성산제1동,59,127,
221,마포구,성산제2동,59,127,
222,마포구,상암동,58,127,
223,양천구,목1동,58,126,
224,양천구,목2동,58,126,
225,양천구,목3동,58,126,
226,양천구,목4동,58,126,
227,양천구,목5동,58,126,
228,양천구,신월1동,57,126,
229,양천구,신월2동,58,126,
230,양천구,신월3동,57,126,
231,양천구,신월4동,57,126,
232,양천구,신월5동,57,126,
233,양천구,신월6동,58,126,
234,양천구,신월7동,57,126,
235,양천구,신정1동,58,126,
236,양천구,신정2동,58,126,
237,양천구,신정3동,58,126,
238,양천구,신정4동,58,126,
239,양천구,신정6동,58,126,
240,양천구,신정7동,58,125,
241,강서구,염창동,58,126,
242,강서구,등촌제1동,58,126,
243,강서구,등촌제2동,58,126,
244,강서구,등촌제3동,58,126,
245,강서구,화곡제1동,58,126,
246,강서구,화곡제2동,58,126,
247,강서구,화곡제3동,57,126,
248,강서구,화곡제4동,58,126,
249,강서구,화곡본동,58,126,
250,강서구,화곡제6동,58,126,
251,강서구,화곡제8동,58,126,
252,강서구,가양제1동,57,127,
253,강서구,가양제2동,58,127,
254,강서구,가양제3동,58,127,
255,강서구,발산제1동,57,126,
256,강서구,우장산동,58,126,
257,강서구,공항동,57,126,
258,강서구,방화제1동,57,127,
259,강서구,방화제2동,57,127,
260,강서구,방화제3동,57,127,
261,구로구,신도림동,58,125,
262,구로구,구로제1동,58,125,
263,구로구,구로제2동,58,125,
264,구로구,구로제3동,58,125,
265,구로구,구로제4동,58,125,
266,구로구,구로제5동,58,125,
267,구로구,가리봉동,58,125,
268,구로구,고척제1동,58,125,
269,구로구,고척제2동,58,125,
270,구로구,개봉제1동,58,125,
271,구로구,개봉제2동,58,125,
272,구로구,개봉제3동,58,125,
273,구로구,오류제1동,58,125,
274,구로구,오류제2동,57,125,
275,구로구,수궁동,57,125,
276,구로구,항동,57,125,
277,금천구,가산동,58,125,
278,금천구,독산제1동,58,125,
279,금천구,독산제2동,59,124,
280,금천구,독산제3동,59,125,
281,금천구,독산제4동,59,124,
282,금천구,시흥제1동,58,124,
283,금천구,시흥제2동,59,124,
284,금천구,시흥제3동,59,124,
285,금천구,시흥제4동,59,124,
286,금천구,시흥제5동,59,124,
287,영등포구,영등포본동,59,126,
288,영등포구,영등포동,59,126,
289,영등포구,여의동,59,126,
290,영등포구,당산제1동,58,126,
291,영등포구,당산제2동,59,126,
292,영등포구,도림동,59,125,
293,영등포구,문래동,59,126,
294,영등포구,양평제1동,58,126,
295,영등포구,양평제2동,58,126,
296,영등포구,신길제1동,59,125,
297,영등포구,신길제3동,59,125,
298,영등포구,신길제4동,59,125,
299,영등포구,신길제5동,59,125,
300,영등포구,신길제6동,59,125,
301,영등포구,신길제7동,59,125,
302,영등포구,대림제1동,59,125,
303,영등포구,대림제2동,58,125,
304,영등포구,대림제3동,58,125,
305,동작구,노량진제1동,59,125,
306,동작구,노량진제2동,59,125,
307,동작구,상도제1동,59,125,
308,동작구,상도제2동,59,125,
309,동작구,상도제3동,59,125,
310,동작구,상도제4동,59,125,
311,동작구,흑석동,60,125,
312,동작구,사당제1동,60,125,
313,동작구,사당제2동,60,125,
314,동작구,사당제3동,60,125,
315,동작구,사당제4동,60,125,
316,동작구,사당제5동,60,125,
317,동작구,대방동,59,125,
318,동작구,신대방제1동,59,125,
319,동작구,신대방제2동,59,125,
320,관악구,보라매동,59,125,
321,관악구,청림동,59,125,
322,관악구,성현동,59,125,
323,관악구,행운동,59,125,
324,관악구,낙성대동,60,125,
325,관악구,청룡동,59,125,
326,관악구,은천동,59,125,
327,관악구,중앙동,59,125,
328,관악구,인헌동,59,125,
329,관악구,남현동,60,125,
330,관악구,서원동,59,125,
331,관악구,신원동,59,125,
332,관악구,서림동,59,125,
333,관악구,신사동,59,125,
334,관악구,신림동,59,125,
335,관악구,난향동,59,124,
336,관악구,조원동,59,125,
337,관악구,대학동,59,125,
338,관악구,삼성동,59,125,
339,관악구,미성동,59,125,
340,관악구,난곡동,59,125,
341,서초구,서초1동,61,125,
342,서초구,서초2동,61,125,
343,서초구,서초3동,60,125,
344,서초구,서초4동,61,125,
345,서초구,잠원동,60,126,
346,서초구,반포본동,60,125,
347,서초구,반포1동,60,125,
348,서초구,반포2동,60,125,
349,서초구,반포3동,60,125,
350,서초구,반포4동,60,125,
351,서초구,방배본동,60,125,
352,서초구,방배1동,60,125,
353,서초구,방배2동,60,125,
354,서초구,방배3동,60,125,
355,서초구,방배4동,60,125,
356,서초구,양재1동,61,125,
357,서초구,양재2동,61,125,
358,서초구,내곡동,61,124,
359,강남구,신사동,61,126,
360,강남구,논현1동,61,125,
361,강남구,논현2동,61,126,
362,강남구,압구정동,61,126,
363,강남구,청담동,61,126,
364,강남구,삼성1동,61,125,
365,강남구,삼성2동,61,125,
366,강남구,대치1동,61,125,
367,강남구,대치2동,61,125,
368,강남구,대치4동,61,125,
369,강남구,역삼1동,61,125,
370,강남구,역삼2동,61,125,
371,강남구,도곡1동,61,125,
372,강남구,도곡2동,61,125,
373,강남구,개포1동,61,125,
374,강남구,개포2동,62,125,
375,강남구,개포3동,62,125,
376,강남구,개포4동,61,125,
377,강남구,세곡동,62,125,
378,강남구,일원본동,62,125,
379,강남구,일원1동,62,125,
380,강남구,수서동,62,125,
381,송파구,풍납1동,62,126,
382,송파구,풍납2동,62,126,
383,송파구,거여1동,63,125,
384,송파구,거여2동,63,125,
385,송파구,마천1동,63,125,
386,송파구,마천2동,63,125,
387,송파구,방이1동,62,125,
388,송파구,방이2동,62,126,
389,송파구,오륜동,63,126,
390,송파구,오금동,62,125,
391,송파구,송파1동,62,125,
392,송파구,송파2동,62,125,
393,송파구,석촌동,62,125,
394,송파구,삼전동,62,125,
395,송파구,가락본동,62,125,
396,송파구,가락1동,62,125,
397,송파구,가락2동,62,125,
398,송파구,문정1동,62,125,
399,송파구,문정2동,62,125,
400,송파구,장지동,63,125,
401,송파구,위례동,63,125,
402,송파구,잠실본동,62,125,
403,송파구,잠실2동,62,126,
404,송파구,잠실3동,62,125,
405,송파구,잠실4동,62,126,
406,송파구,잠실6동,62,126,
407,송파구,잠실7동,62,125,
408,강동구,강일동,63,127,
409,강동구,상일제1동,63,126,
410,강동구,상일제2동,63,126,
411,강동구,명일제1동,63,126,
412,강동구,명일제2동,63,126,
413,강동구,고덕제1동,63,127,
414,강동구,고덕제2동,63,127,
415,강동구,암사제1동,63,126,
416,강동구,암사제2동,62,126,
417,강동구,암사제3동,63,126,
418,강동구,천호제1동,63,126,
419,강동구,천호제2동,62,126,
420,강동구,천호제3동,62,126,
421,강동구,성내제1동,62,126,
422,강동구,성내제2동,62,126,
423,강동구,성내제3동,63,126,
424,강동구,길동,63,126,
425,강동구,둔촌제1동,63,126,
426,강동구,둔촌제2동,63,126,
,,,,,
